# Sample bright sky spectra (moon phase = 97.63, moon alt = +12.22)
# Source: fxSKY.2004-01-09T01:55:30.850.fits (from http://www.eso.org/~fpatat/science/skybright/)
# Wavelength(nm) Flux(erg/s/cm2/A/arcsec2)
407.99958033338123 1.4617028e-16
408.2596865393215 1.4863403e-16
408.5197927452617 1.5370489e-16
408.779898951202 1.5663963e-16
409.0400051571422 1.5615144e-16
409.30011136308246 1.5363885e-16
409.5602175690227 1.4755898e-16
409.8203237749629 1.388724e-16
410.08042998090315 1.3444312e-16
410.3405361868434 1.3427405e-16
410.60064239278364 1.3673597e-16
410.8607485987239 1.4307505e-16
411.12085480466413 1.5124071e-16
411.3809610106044 1.5533479e-16
411.6410672165446 1.5645401e-16
411.9011734224849 1.576446e-16
412.1612796284251 1.571664e-16
412.42138583436537 1.5541412e-16
412.6814920403056 1.5300167e-16
412.94159824624586 1.5058483e-16
413.2017044521861 1.5015217e-16
413.46181065812635 1.5169541e-16
413.7219168640666 1.5252354e-16
413.98202307000685 1.5206866e-16
414.2421292759471 1.534439e-16
414.50223548188734 1.5288184e-16
414.7623416878276 1.5082344e-16
415.02244789376783 1.4957944e-16
415.2825540997081 1.5042185e-16
415.5426603056483 1.509781e-16
415.8027665115886 1.5249116e-16
416.0628727175288 1.5483527e-16
416.32297892346907 1.5694983e-16
416.5830851294093 1.5736926e-16
416.84319133534956 1.5450863e-16
417.1032975412898 1.5031067e-16
417.36340374723005 1.4728757e-16
417.6235099531703 1.459252e-16
417.88361615911055 1.4484413e-16
418.1437223650508 1.4546614e-16
418.40382857099104 1.4548574e-16
418.6639347769313 1.460956e-16
418.92404098287153 1.4713963e-16
419.1841471888118 1.4696421e-16
419.444253394752 1.4497494e-16
419.70435960069227 1.4382564e-16
419.9644658066325 1.4252344e-16
420.22457201257276 1.4279596e-16
420.484678218513 1.4567503e-16
420.74478442445326 1.4999113e-16
421.0048906303935 1.5318511e-16
421.26499683633375 1.5375395e-16
421.525103042274 1.5312733e-16
421.78520924821424 1.5221205e-16
422.0453154541545 1.4741485e-16
422.30542166009474 1.4108869e-16
422.565527866035 1.3981703e-16
422.82563407197523 1.3911322e-16
423.0857402779155 1.3768311e-16
423.3458464838557 1.3953098e-16
423.60595268979597 1.4388108e-16
423.8660588957362 1.4472606e-16
424.12616510167646 1.4457911e-16
424.38627130761677 1.447259e-16
424.646377513557 1.4432208e-16
424.90648371949726 1.4374758e-16
425.1665899254375 1.4267116e-16
425.42669613137775 1.4118901e-16
425.686802337318 1.4028304e-16
425.94690854325825 1.4228295e-16
