,GOTO_B,GOTO_B_noatm,GOTO_G,GOTO_G_noatm,GOTO_L,GOTO_L_noatm,GOTO_R,GOTO_R_noatm,atm,atmosphere,corrector,filter_B,filter_C,filter_G,filter_L,filter_R,lens1,lens2,lens3,lens_coating,mirror,ota,qe,window
613,0.0011172167547513,0.0012387640886084,0.0023892202907102,0.0026491549498513,0.4169775853013687,0.4623425635439276,0.4138147908521806,0.4588356736171147,0.9018801602542728,-2.883296942548375,0.9193165970811856,0.0026544333995,0.9935600281,0.0056766299927499,0.990711269375,0.98319667815,0.9645889092812,0.9850900748138116,0.9954853,0.997,0.965220909209923,0.8431389417176035,0.5535000000000001,0.9844204
614,0.0010477188055242,0.0011607929396747,0.0025335887677279,0.002807024115737,0.4167194263148087,0.4616935053002879,0.4128216692612163,0.4573750862316206,0.9025888853337284,-2.8820748467944397,0.9193165514637228,0.00249106753625,0.993972168,0.00602388799,0.99079660415,0.981529254925,0.9645888831735999,0.9850900637044478,0.9954454,0.997,0.9650695423638068,0.8426439841581995,0.553,0.9841512
615,0.0009759294011154,0.0010804509283215,0.0026511267328161,0.0029350610159867,0.4162378451538571,0.4608167001475859,0.4114775142820308,0.4555465403350998,0.9032611991287391,-2.8808527510405044,0.919316505846262,0.00232211496675,0.9937715149,0.00630805984325,0.990391445175,0.97906476975,0.964588857066,0.9850900525950842,0.9954055,0.997,0.9649181755176907,0.842149212713927,0.5525,0.983882
616,0.000909650222645,0.0010063556626533,0.0027166694574085,0.0030054801548565,0.4156846425740361,0.4598763167627361,0.4100340807234509,0.453625040421623,0.9039053054530316,-2.879630655286569,0.919316460228802,0.0021660999955,0.9936540985,0.006469055416,0.98984695435,0.9763915825,0.9645888309584,0.9850900414857204,0.9953656,0.997,0.9647668086715746,0.841654627350736,0.552,0.9836128000000001
617,0.0008462280703889,0.0009355863234738,0.0027269605187493,0.0030149164926925,0.4154046988033988,0.4592697506815107,0.4083940609118739,0.451518817854237,0.9044895689014562,-2.878408559532634,0.9193164146113436,0.0020167850705,0.993272934,0.00649906739625,0.990019149775,0.973310947425,0.9645888048508,0.9850900303763567,0.9953257,0.997,0.9646154418254584,0.8411602280345776,0.5515000000000001,0.9833436
618,0.0007880659453822,0.0008707685794309,0.002675717527485,0.002956517489455,0.4144811436281649,0.4579783693900452,0.4063176592566314,0.4489581779567527,0.9050234057564516,-2.8771864637786986,0.918763258133807,0.00188100103275,0.9933618927,0.0063865561785,0.989307384475,0.9698223114,0.9645887787431999,0.985090019266993,0.9952858,0.9969,0.9644640749793423,0.840160224213437,0.551,0.9830744
619,0.0007353791510181,0.0008121447552294,0.0025913511552536,0.0028618600986758,0.4139031713794239,0.4571101714581082,0.4046927862839265,0.4469383220949668,0.9054779290059092,-2.8759643680247633,0.9187632125437972,0.00175699003025,0.9929702759,0.0061913342775,0.98890993115,0.9669042015,0.9645887526356,0.9850900081576293,0.9952459,0.9969,0.9643127081332261,0.839666494122975,0.5505,0.9828052
620,0.0006940951367766,0.0007662312768774,0.0024837443677784,0.0027418757422763,0.4132565602733109,0.4562056194870855,0.4028496564641957,0.4447171436694482,0.9058559180790836,-2.874742272270828,0.9187631669537888,0.0016601438075,0.9932285309,0.0059406450399999,0.988431243925,0.96353990555,0.964588726528,0.9850899970482656,0.995206,0.9969,0.9641613412871101,0.8391729498655243,0.55,0.982536
621,0.0006549949861895,0.000722818588757,0.0023768206594722,0.0026229363446013,0.4120088554863961,0.4546716627719023,0.4007760271829178,0.4422756944465506,0.906167877220646,-2.8735201765168927,0.918763121363782,0.0015706034005,0.9935323334,0.0056993453215,0.987950324975,0.96101528165,0.9645887004204,0.9850899859389018,0.9951661,0.9969,0.9640012856372114,0.8386644731204002,0.5487500000000001,0.9822668
622,0.000619229583011,0.0006831552508752,0.0022854146630803,0.0025213476073263,0.4102966227617361,0.4526532645502721,0.3985259515152942,0.439667457526596,0.906425855934964,-2.8722980807629575,0.9182102423692844,0.00148962862775,0.9931037903,0.00549783021,0.987016143775,0.958700428025,0.9645886743127999,0.9850899748295381,0.9951262,0.9968,0.9638342589437999,0.8376397475672368,0.5475000000000001,0.9819976
